tau (s) - HBT Measurement	g^(2)(tau) - HBT Measurement	tau (s) - none Fit	g^(2)(tau) - none Fit	
28,8201n	1,0441	28,8201n	1	
28,982n	1,2125	28,982n	1	
29,1439n	774,651m	29,1439n	1	
29,3058n	707,29m	29,3058n	1	
29,4677n	1,01041	29,4677n	1	
29,6296n	943,054m	29,6296n	1	
29,7915n	1,01041	29,7915n	1	
29,9535n	1,0441	29,9535n	1	
30,1154n	1,14514	30,1154n	1	
30,2773n	1,24618	30,2773n	1	
30,4392n	1,0441	30,4392n	1	
30,6011n	943,054m	30,6011n	1	
30,763n	909,373m	30,763n	1	
30,9249n	1,07778	30,9249n	1	
31,0868n	909,373m	31,0868n	1	
31,2487n	943,054m	31,2487n	1	
31,4106n	1,0441	31,4106n	1	
31,5726n	740,971m	31,5726n	1	
31,7345n	1,11146	31,7345n	1	
31,8964n	1,51562	31,8964n	1	
32,0583n	1,27986	32,0583n	1	
32,2202n	1,07778	32,2202n	1	
32,3821n	1,01041	32,3821n	1	
32,544n	909,373m	32,544n	1	
32,7059n	1,5493	32,7059n	1	
32,8678n	1,14514	32,8678n	1	
33,0298n	1,17882	33,0298n	1	
33,1917n	639,929m	33,1917n	1	
33,3536n	1,07778	33,3536n	1	
33,5155n	875,693m	33,5155n	1	
33,6774n	909,373m	33,6774n	1	
33,8393n	842,012m	33,8393n	1	
34,0012n	1,41458	34,0012n	1	
34,1631n	842,012m	34,1631n	1	
34,325n	1,14514	34,325n	1	
34,4869n	1,07778	34,4869n	1	
34,6489n	976,734m	34,6489n	1	
34,8108n	1,24618	34,8108n	1	
34,9727n	1,07778	34,9727n	1	
35,1346n	1,31354	35,1346n	1	
35,2965n	1,11146	35,2965n	1	
35,4584n	842,012m	35,4584n	1	
35,6203n	1,24618	35,6203n	1	
35,7822n	1,17882	35,7822n	1	
35,9441n	875,693m	35,9441n	1	
36,1061n	1,0441	36,1061n	1	
36,268n	1,14514	36,268n	1	
36,4299n	606,249m	36,4299n	1	
